TriggerN,Detector,DriftType,F1_mean,F1_std,Latency_mean,FAR_mean
50,mmd,gradual,0.4391,0.1438,109.2,0.0025
50,mmd,recurring,0.0,0.0,,0.0025
50,mmd,sudden,0.4391,0.1438,168.5,0.0025
50,padd,gradual,0.6686,0.3504,184.4444,0.0012
50,padd,recurring,0.0,0.0,,0.0012
50,padd,sudden,0.6686,0.3504,214.6667,0.0012
100,mmd,gradual,0.5967,0.1788,146.7,0.0013
100,mmd,recurring,0.0,0.0,,0.0013
100,mmd,sudden,0.5967,0.1788,179.2,0.0013
100,padd,gradual,0.55,0.3148,92.875,0.0008
100,padd,recurring,0.0,0.0,,0.0008
100,padd,sudden,0.6834,0.123,239.5,0.0008
200,mmd,gradual,0.6,0.5164,227.8333,0.0001
200,mmd,recurring,0.0,0.0,,0.0001
200,mmd,sudden,0.8667,0.322,266.8889,0.0001
200,padd,gradual,0.4,0.5164,229.5,0.0
200,padd,recurring,0.0,0.0,,0.0
200,padd,sudden,0.9,0.3162,335.6667,0.0
