Dataset,Detector,DriftType,F1_mean,F1_std,Latency_mean,FAR_mean
agnews,mmd,gradual,0.3852,0.2501,75.125,0.0018
agnews,mmd,recurring,0.0,0.0,,0.0018
agnews,mmd,sudden,0.4852,0.2774,168.3333,0.0018
agnews,padd,gradual,0.0,0.0,,0.0
agnews,padd,recurring,0.0,0.0,,0.0
agnews,padd,sudden,0.3,0.483,248.0,0.0
newsgroups,mmd,gradual,0.5967,0.1788,146.7,0.0013
newsgroups,mmd,recurring,0.0,0.0,,0.0013
newsgroups,mmd,sudden,0.5967,0.1788,179.2,0.0013
newsgroups,padd,gradual,0.55,0.3148,92.875,0.0008
newsgroups,padd,recurring,0.0,0.0,,0.0008
newsgroups,padd,sudden,0.6834,0.123,239.5,0.0008
yahoo,mmd,gradual,0.6567,0.2043,135.6,0.0011
yahoo,mmd,recurring,0.0,0.0,,0.0011
yahoo,mmd,sudden,0.6567,0.2043,156.1,0.0011
yahoo,padd,gradual,0.2833,0.3853,131.75,0.0003
yahoo,padd,recurring,0.0,0.0,,0.0003
yahoo,padd,sudden,0.3833,0.4307,263.2,0.0003
