Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
agnews,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,163.00,26070.00,0.000880,109.0000,454.3333,0.5000
agnews,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,55.00,15339.00,0.000880,109.0000,454.3333,0.5000
agnews,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,109.0000,454.3333,0.5000
agnews,padd,sliding,100,sudden,1.0000,1.0000,1.0000,233.00,26724.00,0.000000,233.0000,989.0000,2.0000
agnews,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,233.0000,989.0000,2.0000
agnews,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,233.0000,989.0000,2.0000
agnews,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,122.00,26478.00,0.000880,128.5000,440.6667,0.5000
agnews,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,135.00,16579.00,0.000880,128.5000,440.6667,0.5000
agnews,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,128.5000,440.6667,0.5000
agnews,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,mmd,sliding,100,sudden,0.2500,1.0000,0.4000,135.00,25519.00,0.002639,131.0000,445.0000,0.5000
agnews,mmd,sliding,100,gradual,0.2500,1.0000,0.4000,127.00,15459.00,0.002639,131.0000,445.0000,0.5000
agnews,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.002639,131.0000,445.0000,0.5000
agnews,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,133.00,28513.00,0.000000,133.0000,1022.3333,2.0000
agnews,mmd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,133.0000,1022.3333,2.0000
agnews,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,133.0000,1022.3333,2.0000
agnews,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,159.00,30819.00,0.000882,103.5000,453.0000,0.5000
agnews,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,48.00,20122.00,0.000882,103.5000,453.0000,0.5000
agnews,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000882,103.5000,453.0000,0.5000
agnews,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
agnews,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,213.00,25009.00,0.000881,162.0000,471.0000,0.5000
agnews,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,111.00,13813.00,0.000881,162.0000,471.0000,0.5000
agnews,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000881,162.0000,471.0000,0.5000
agnews,padd,sliding,100,sudden,1.0000,1.0000,1.0000,213.00,55313.00,0.000000,486.0000,895.3333,2.0000
agnews,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,486.0000,895.3333,2.0000
agnews,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,486.0000,895.3333,2.0000
agnews,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,208.00,26971.00,0.001761,154.5000,469.3333,0.5000
agnews,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,101.00,16012.00,0.001761,154.5000,469.3333,0.5000
agnews,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001761,154.5000,469.3333,0.5000
agnews,padd,sliding,100,sudden,1.0000,1.0000,1.0000,208.00,26991.00,0.000000,208.0000,997.3333,2.0000
agnews,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,208.0000,997.3333,2.0000
