Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,50,sudden,0.2500,1.0000,0.4000,118.00,23453.00,0.002639,240.0000,515.3333,0.5000
newsgroups,mmd,sliding,50,gradual,0.2500,1.0000,0.4000,134.00,15695.00,0.002639,240.0000,515.3333,0.5000
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.002639,240.0000,515.3333,0.5000
newsgroups,padd,sliding,50,sudden,0.3333,1.0000,0.5000,23.00,23321.00,0.001759,222.0000,515.3333,0.5000
newsgroups,padd,sliding,50,gradual,0.3333,1.0000,0.5000,98.00,10540.00,0.001759,222.0000,515.3333,0.5000
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.001759,222.0000,515.3333,0.5000
newsgroups,mmd,sliding,50,sudden,0.2000,1.0000,0.3333,133.00,18023.00,0.003524,232.0000,505.3333,0.5000
newsgroups,mmd,sliding,50,gradual,0.2000,1.0000,0.3333,148.00,18569.00,0.003524,232.0000,505.3333,0.5000
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.003524,232.0000,505.3333,0.5000
newsgroups,padd,sliding,50,sudden,0.5000,1.0000,0.6667,133.00,18046.00,0.000881,232.0000,505.3333,0.5000
newsgroups,padd,sliding,50,gradual,0.5000,1.0000,0.6667,18.00,17190.00,0.000881,232.0000,505.3333,0.5000
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000881,232.0000,505.3333,0.5000
newsgroups,mmd,sliding,50,sudden,0.3333,1.0000,0.5000,158.00,27241.00,0.001761,102.0000,452.6667,0.5000
newsgroups,mmd,sliding,50,gradual,0.3333,1.0000,0.5000,46.00,7012.00,0.001761,102.0000,452.6667,0.5000
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.001761,102.0000,452.6667,0.5000
newsgroups,padd,sliding,50,sudden,0.5000,1.0000,0.6667,63.00,27263.00,0.000880,102.0000,452.6667,0.5000
newsgroups,padd,sliding,50,gradual,0.5000,1.0000,0.6667,21.00,5830.00,0.000880,102.0000,452.6667,0.5000
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,102.0000,452.6667,0.5000
newsgroups,mmd,sliding,50,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,mmd,sliding,50,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
