Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
yahoo,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,224.00,26013.00,0.000881,343.1429,338.6667,0.5714
yahoo,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,117.00,15392.00,0.000881,343.1429,338.6667,0.5714
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000881,343.1429,338.6667,0.5714
yahoo,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,117.0000,772.3333,2.0000
yahoo,padd,sliding,100,gradual,1.0000,1.0000,1.0000,117.00,11484.00,0.000000,117.0000,772.3333,2.0000
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,117.0000,772.3333,2.0000
yahoo,mmd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,mmd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,sudden,1.0000,1.0000,1.0000,216.00,62592.00,0.000000,446.0000,882.0000,2.0000
yahoo,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,446.0000,882.0000,2.0000
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,446.0000,882.0000,2.0000
yahoo,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,102.00,16129.00,0.000000,300.7500,755.3333,0.2500
yahoo,mmd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,300.7500,755.3333,0.2500
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,300.7500,755.3333,0.2500
yahoo,padd,sliding,100,sudden,1.0000,1.0000,1.0000,400.00,56677.00,0.000000,400.0000,933.3333,2.0000
yahoo,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,400.0000,933.3333,2.0000
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,400.0000,933.3333,2.0000
yahoo,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,98.00,16606.00,0.001762,351.2222,277.0000,0.6667
yahoo,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,58.00,8697.00,0.001762,351.2222,277.0000,0.6667
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001762,351.2222,277.0000,0.6667
yahoo,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,211.00,28340.00,0.000880,335.2857,329.6667,0.5714
yahoo,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,104.00,15822.00,0.000880,335.2857,329.6667,0.5714
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,335.2857,329.6667,0.5714
yahoo,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,202.00,28033.00,0.000880,330.0000,323.3333,0.5714
yahoo,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,94.00,15384.00,0.000880,330.0000,323.3333,0.5714
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,330.0000,323.3333,0.5714
yahoo,padd,sliding,100,sudden,1.0000,1.0000,1.0000,351.00,56155.00,0.000000,222.5000,517.0000,0.5000
yahoo,padd,sliding,100,gradual,1.0000,1.0000,1.0000,94.00,15109.00,0.000000,222.5000,517.0000,0.5000
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,222.5000,517.0000,0.5000
yahoo,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,130.00,20664.00,0.000000,359.7143,375.0000,0.5714
yahoo,mmd,sliding,100,gradual,1.0000,1.0000,1.0000,321.00,41743.00,0.000000,359.7143,375.0000,0.5714
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,359.7143,375.0000,0.5714
yahoo,padd,sliding,100,sudden,1.0000,1.0000,1.0000,217.00,24451.00,0.000000,322.5000,853.6667,0.5000
yahoo,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,322.5000,853.6667,0.5000
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,322.5000,853.6667,0.5000
yahoo,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,122.00,22123.00,0.000000,359.8571,370.0000,0.5714
yahoo,mmd,sliding,100,gradual,1.0000,1.0000,1.0000,314.00,40644.00,0.000000,359.8571,370.0000,0.5714
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,359.8571,370.0000,0.5714
yahoo,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,103.00,17005.00,0.000000,103.0000,1032.3333,2.0000
yahoo,mmd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,103.0000,1032.3333,2.0000
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,103.0000,1032.3333,2.0000
yahoo,padd,sliding,100,sudden,1.0000,1.0000,1.0000,103.00,17027.00,0.000000,259.7500,434.3333,0.2500
yahoo,padd,sliding,100,gradual,1.0000,1.0000,1.0000,58.00,8735.00,0.000000,259.7500,434.3333,0.2500
