Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,142.00,23093.00,0.000000,337.2222,154.3333,0.6667
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,97.00,12831.00,0.000000,337.2222,154.3333,0.6667
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,337.2222,154.3333,0.6667
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,142.00,23071.00,0.000880,304.0000,154.3333,0.7000
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,97.00,12810.00,0.000880,304.0000,154.3333,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,304.0000,154.3333,0.7000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,111.00,15401.00,0.000880,341.8750,188.0000,0.6250
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,118.00,15188.00,0.000880,341.8750,188.0000,0.6250
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,341.8750,188.0000,0.6250
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,111.00,15379.00,0.000880,343.7000,188.0000,0.7000
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,118.00,15166.00,0.000880,343.7000,188.0000,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,343.7000,188.0000,0.7000
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,233.00,28918.00,0.000000,279.8000,205.6667,0.4000
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,305.00,45001.00,0.000000,279.8000,205.6667,0.4000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,279.8000,205.6667,0.4000
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,114.00,26563.00,0.000881,298.2222,148.6667,0.6667
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,305.00,44976.00,0.000881,298.2222,148.6667,0.6667
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000881,298.2222,148.6667,0.6667
newsgroups,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,193.00,30689.00,0.001762,326.2000,150.3333,0.7000
newsgroups,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,33.00,5670.00,0.001762,326.2000,150.3333,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001762,326.2000,150.3333,0.7000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,193.00,30710.00,0.000881,294.8333,331.6667,0.5000
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,33.00,5727.00,0.000881,294.8333,331.6667,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000881,294.8333,331.6667,0.5000
newsgroups,padd,sliding,100,sudden,0.3333,1.0000,0.5000,188.00,27311.00,0.001759,329.8000,165.0000,0.7000
newsgroups,padd,sliding,100,gradual,0.3333,1.0000,0.5000,82.00,12319.00,0.001759,329.8000,165.0000,0.7000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001759,329.8000,165.0000,0.7000
newsgroups,mmd,sliding,100,sudden,0.2500,1.0000,0.4000,188.00,27292.00,0.002639,363.8182,165.0000,0.7273
newsgroups,mmd,sliding,100,gradual,0.2500,1.0000,0.4000,82.00,12295.00,0.002639,363.8182,165.0000,0.7273
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.002639,363.8182,165.0000,0.7273
newsgroups,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,226.00,26468.00,0.001762,446.8889,249.0000,0.6667
newsgroups,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,296.00,47132.00,0.001762,446.8889,249.0000,0.6667
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001762,446.8889,249.0000,0.6667
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,226.00,26491.00,0.000881,288.8333,185.0000,0.5000
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,104.00,13861.00,0.000881,288.8333,185.0000,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000881,288.8333,185.0000,0.5000
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,223.00,27473.00,0.000880,373.0000,173.0000,0.7000
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,71.00,10411.00,0.000880,373.0000,173.0000,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,373.0000,173.0000,0.7000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,372.00,45524.00,0.000880,455.5000,942.6667,0.5000
newsgroups,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000880,455.5000,942.6667,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,455.5000,942.6667,0.5000
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,222.00,26268.00,0.000000,420.0000,409.0000,0.4000
newsgroups,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,420.0000,409.0000,0.4000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,420.0000,409.0000,0.4000
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,222.00,26247.00,0.000881,340.8889,168.3333,0.6667
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,58.00,8658.00,0.000881,340.8889,168.3333,0.6667
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000881,340.8889,168.3333,0.6667newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,99.00,25248.00,0.000000,419.8333,371.3333,0.5000
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,416.00,46117.00,0.000000,419.8333,371.3333,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,419.8333,371.3333,0.5000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,125.00,26486.00,0.000880,348.4444,203.6667,0.6667
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,316.00,48146.00,0.000880,348.4444,203.6667,0.6667
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,348.4444,203.6667,0.6667
newsgroups,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,125.00,26463.00,0.001759,371.7000,203.6667,0.7000
newsgroups,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,316.00,48125.00,0.001759,371.7000,203.6667,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001759,371.7000,203.6667,0.7000
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,214.00,25976.00,0.000880,340.8000,164.6667,0.7000
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,56.00,8618.00,0.000880,340.8000,164.6667,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,340.8000,164.6667,0.7000
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,214.00,25996.00,0.000000,396.2500,462.0000,0.2500
