Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,215.00,26981.00,0.000000,335.7000,181.0000,0.7000
newsgroups,mmd,sliding,100,gradual,1.0000,1.0000,1.0000,103.00,13888.00,0.000000,335.7000,181.0000,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,335.7000,181.0000,0.7000
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,15.00,36625.00,0.000000,349.5556,181.0000,0.6667
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,103.00,12602.00,0.000000,349.5556,181.0000,0.6667
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,349.5556,181.0000,0.6667
newsgroups,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,323.00,36166.00,0.000000,400.0000,856.3333,0.5000
newsgroups,mmd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,400.0000,856.3333,0.5000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,400.0000,856.3333,0.5000
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,62.00,24941.00,0.000000,325.1429,178.0000,0.5714
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,103.00,10837.00,0.000000,325.1429,178.0000,0.5714
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,325.1429,178.0000,0.5714
newsgroups,mmd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,mmd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,234.00,30355.00,0.000000,237.6667,173.0000,0.5000
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,22.00,15934.00,0.000000,237.6667,173.0000,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,237.6667,173.0000,0.5000
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,225.00,28623.00,0.000880,374.7778,172.0000,0.6667
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,67.00,9748.00,0.000880,374.7778,172.0000,0.6667
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,374.7778,172.0000,0.6667
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,16.00,46871.00,0.000000,285.5000,172.0000,0.5000
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,67.00,9066.00,0.000000,285.5000,172.0000,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,285.5000,172.0000,0.5000
newsgroups,mmd,sliding,100,sudden,0.2500,1.0000,0.4000,144.00,28927.00,0.002641,359.2500,165.6667,0.7500
newsgroups,mmd,sliding,100,gradual,0.2500,1.0000,0.4000,129.00,16125.00,0.002641,359.2500,165.6667,0.7500
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.002641,359.2500,165.6667,0.7500
newsgroups,padd,sliding,100,sudden,0.3333,1.0000,0.5000,144.00,28950.00,0.001761,297.2500,119.0000,0.7500
newsgroups,padd,sliding,100,gradual,0.3333,1.0000,0.5000,35.00,46437.00,0.001761,297.2500,119.0000,0.7500
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001761,297.2500,119.0000,0.7500
newsgroups,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,332.00,41458.00,0.000000,389.0000,808.0000,0.5000
newsgroups,mmd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,389.0000,808.0000,0.5000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,389.0000,808.0000,0.5000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,8.00,30333.00,0.000883,292.6250,143.3333,0.6250
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,17.00,4983.00,0.000883,292.6250,143.3333,0.6250
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000883,292.6250,143.3333,0.6250
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,243.00,28404.00,0.000880,366.4444,202.3333,0.6667
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,321.00,40893.00,0.000880,366.4444,202.3333,0.6667
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,366.4444,202.3333,0.6667
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,95.00,12896.00,0.000880,358.6667,842.3333,0.0000
newsgroups,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000880,358.6667,842.3333,0.0000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,358.6667,842.3333,0.0000
newsgroups,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,226.00,28808.00,0.000000,335.1000,169.6667,0.7000
newsgroups,mmd,sliding,100,gradual,1.0000,1.0000,1.0000,59.00,8533.00,0.000000,335.1000,169.6667,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,335.1000,169.6667,0.7000
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,74.00,45724.00,0.000000,400.7500,459.0000,0.2500
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,59.00,56729.00,0.000000,400.7500,459.0000,0.2500
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,400.7500,459.0000,0.2500
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,110.00,23978.00,0.000882,389.4000,245.0000,0.7000
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,301.00,42606.00,0.000882,389.4000,245.0000,0.7000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000882,389.4000,245.0000,0.7000
newsgroups,padd,sliding,100,sudden,0.3333,1.0000,0.5000,48.00,46101.00,0.001764,393.1250,295.6667,0.6250
newsgroups,padd,sliding,100,gradual,0.3333,1.0000,0.5000,104.00,62648.00,0.001764,393.1250,295.6667,0.6250
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001764,393.1250,295.6667,0.6250
newsgroups,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,129.00,24246.00,0.001761,353.1818,184.0000,0.7273
newsgroups,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,111.00,14553.00,0.001761,353.1818,184.0000,0.7273
