Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,50,sudden,0.3333,1.0,0.5,44.0,25045.0,0.001686,0.0,371.3333,0.5,2.0
newsgroups,mmd,sliding,50,gradual,0.3333,1.0,0.5,86.0,11705.0,0.001686,0.0,371.3333,0.5,2.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.001686,0.0,371.3333,0.5,3.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.5,0.6667,0.5714,65.0,18375.0,0.001686,0.0,371.3333,0.5,1.0
newsgroups,padd,sliding,50,sudden,0.5,1.0,0.6667,44.0,25068.0,0.000843,0.0,371.3333,0.5,1.0
newsgroups,padd,sliding,50,gradual,0.5,1.0,0.6667,86.0,11730.0,0.000843,0.0,371.3333,0.5,1.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,371.3333,0.5,2.0
newsgroups,padd,sliding,50,__GLOBAL__,0.6667,0.6667,0.6667,65.0,18399.0,0.000843,0.0,371.3333,0.5,0.6667
newsgroups,mmd,sliding,50,sudden,0.5,1.0,0.6667,154.0,20244.0,0.000843,0.0,387.6667,0.5,1.0
newsgroups,mmd,sliding,50,gradual,0.5,1.0,0.6667,37.0,5932.0,0.000843,0.0,387.6667,0.5,1.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,387.6667,0.5,2.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.6667,0.6667,0.6667,95.5,13088.0,0.000843,0.0,387.6667,0.5,0.6667
newsgroups,padd,sliding,50,sudden,1.0,1.0,1.0,154.0,20113.0,0.0,83.0,340.3333,0.5,0.0
newsgroups,padd,sliding,50,gradual,1.0,1.0,1.0,345.0,44864.0,0.0,83.0,340.3333,0.5,0.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.0,83.0,340.3333,0.5,1.0
newsgroups,padd,sliding,50,__GLOBAL__,1.0,0.6667,0.8,249.5,32488.5,0.0,83.0,340.3333,0.5,0.3333
