Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
yahoo,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,221.00,28994.00,0.000880,167.0000,473.6667,0.5000
yahoo,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,113.00,16283.00,0.000880,167.0000,473.6667,0.5000
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,167.0000,473.6667,0.5000
yahoo,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
yahoo,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,117.00,19690.00,0.000000,213.0000,439.0000,0.5000
yahoo,mmd,sliding,100,gradual,1.0000,1.0000,1.0000,309.00,40020.00,0.000000,213.0000,439.0000,0.5000
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,213.0000,439.0000,0.5000
yahoo,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000880,79.0000,759.6667,2.0000
yahoo,padd,sliding,100,gradual,0.5000,1.0000,0.6667,79.00,11004.00,0.000880,79.0000,759.6667,2.0000
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,79.0000,759.6667,2.0000
yahoo,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,132.00,19548.00,0.000000,227.5000,444.0000,0.5000
yahoo,mmd,sliding,100,gradual,1.0000,1.0000,1.0000,323.00,40769.00,0.000000,227.5000,444.0000,0.5000
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,227.5000,444.0000,0.5000
yahoo,padd,sliding,100,sudden,1.0000,1.0000,1.0000,430.00,57007.00,0.000000,430.0000,923.3333,2.0000
yahoo,padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,430.0000,923.3333,2.0000
yahoo,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,430.0000,923.3333,2.0000
yahoo,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,35.00,24960.00,0.001759,56.5000,411.6667,0.5000
yahoo,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,78.00,15896.00,0.001759,56.5000,411.6667,0.5000
yahoo,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001759,56.5000,411.6667,0.5000
yahoo,padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
