Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,229.00,29247.00,0.000000,224.0000,476.3333,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,219.00,26082.00,0.000000,224.0000,476.3333,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,224.0000,476.3333,0.5000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,11.00,29270.00,0.000000,324.5000,476.3333,0.5000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,97.00,46708.00,0.000000,324.5000,476.3333,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,324.5000,476.3333,0.5000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,368.00,42076.00,0.000000,315.0000,522.6667,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,262.00,34204.00,0.000000,315.0000,522.6667,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,315.0000,522.6667,0.5000
newsgroups,padd,sliding,200,sudden,0.5000,1.0000,0.6667,64.00,42100.00,0.000883,389.5000,522.6667,0.5000
newsgroups,padd,sliding,200,gradual,0.5000,1.0000,0.6667,114.00,48928.00,0.000883,389.5000,522.6667,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000883,389.5000,522.6667,0.5000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,98.00,29587.00,0.000000,288.5000,526.3333,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,198.00,24168.00,0.000000,288.5000,526.3333,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,288.5000,526.3333,0.5000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,23.00,56893.00,0.000000,446.0000,571.6667,0.5000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,108.00,47288.00,0.000000,446.0000,571.6667,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,446.0000,571.6667,0.5000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,189.00,29023.00,0.000000,210.0000,463.0000,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,231.00,39188.00,0.000000,210.0000,463.0000,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,210.0000,463.0000,0.5000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,237.00,45172.00,0.000000,284.5000,512.6667,0.5000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,24.00,37696.00,0.000000,284.5000,512.6667,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,284.5000,512.6667,0.5000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,148.00,30013.00,0.000000,160.5000,449.3333,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,173.00,20224.00,0.000000,160.5000,449.3333,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,160.5000,449.3333,0.5000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,255.00,33278.00,0.000000,235.0000,499.0000,0.5000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,46.00,18539.00,0.000000,235.0000,499.0000,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,235.0000,499.0000,0.5000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,362.00,44177.00,0.000000,362.0000,946.0000,2.0000
newsgroups,mmd,sliding,200,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,362.0000,946.0000,2.0000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,362.0000,946.0000,2.0000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,34.00,44202.00,0.000000,302.0000,520.6667,0.5000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,54.00,27805.00,0.000000,302.0000,520.6667,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,302.0000,520.6667,0.5000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,153.00,32095.00,0.000000,219.5000,641.6667,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,195.00,41727.00,0.000000,219.5000,641.6667,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,219.5000,641.6667,0.5000
newsgroups,padd,sliding,200,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,padd,sliding,200,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,154.00,30169.00,0.000000,216.0000,636.6667,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,197.00,38872.00,0.000000,216.0000,636.6667,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,216.0000,636.6667,0.5000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,257.00,40079.00,0.000000,303.0000,965.6667,2.0000
newsgroups,padd,sliding,200,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,303.0000,965.6667,2.0000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,303.0000,965.6667,2.0000
newsgroups,mmd,sliding,200,sudden,0.5000,1.0000,0.6667,234.00,29411.00,0.000880,213.5000,478.0000,0.5000
newsgroups,mmd,sliding,200,gradual,0.5000,1.0000,0.6667,193.00,23217.00,0.000880,213.5000,478.0000,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,213.5000,478.0000,0.5000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,24.00,51711.00,0.000000,453.0000,564.0000,0.5000
