Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,313.00,34996.00,0.000000,333.2000,260.3333,0.4000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,244.00,43785.00,0.000000,333.2000,260.3333,0.4000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,333.2000,260.3333,0.4000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,200.00,25614.00,0.000000,311.0000,222.6667,0.5000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,96.00,42698.00,0.000000,311.0000,222.6667,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,311.0000,222.6667,0.5000
newsgroups,mmd,sliding,200,sudden,0.5000,1.0000,0.6667,164.00,30192.00,0.000883,360.3750,223.6667,0.6250
newsgroups,mmd,sliding,200,gradual,0.5000,1.0000,0.6667,206.00,29202.00,0.000883,360.3750,223.6667,0.6250
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000883,360.3750,223.6667,0.6250
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,5.00,38599.00,0.000000,364.0000,273.3333,0.4000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,48.00,28016.00,0.000000,364.0000,273.3333,0.4000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,364.0000,273.3333,0.4000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,96.00,24418.00,0.000000,368.8333,267.3333,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,188.00,22642.00,0.000000,368.8333,267.3333,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,368.8333,267.3333,0.5000
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,25.00,55238.00,0.000000,357.0000,408.0000,0.5000
newsgroups,padd,sliding,200,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,357.0000,408.0000,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,357.0000,408.0000,0.5000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,190.00,29242.00,0.000000,334.2857,215.3333,0.5714
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,232.00,38986.00,0.000000,334.2857,215.3333,0.5714
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,334.2857,215.3333,0.5714
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,241.00,45113.00,0.000000,325.2000,265.0000,0.4000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,22.00,37905.00,0.000000,325.2000,265.0000,0.4000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,325.2000,265.0000,0.4000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,183.00,30890.00,0.000000,351.2857,215.6667,0.5714
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,225.00,36926.00,0.000000,351.2857,215.6667,0.5714
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,351.2857,215.6667,0.5714
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,183.00,30914.00,0.000000,351.2857,215.6667,0.5714
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,86.00,50345.00,0.000000,351.2857,215.6667,0.5714
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,351.2857,215.6667,0.5714
newsgroups,mmd,sliding,200,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,mmd,sliding,200,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,144.00,28266.00,0.000000,308.2857,124.0000,0.5714
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,22.00,46914.00,0.000000,308.2857,124.0000,0.5714
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,308.2857,124.0000,0.5714
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,117.00,24686.00,0.000000,385.5000,274.3333,0.5000
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,250.00,29638.00,0.000000,385.5000,274.3333,0.5000
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,385.5000,274.3333,0.5000
newsgroups,padd,sliding,200,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
