Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR
padd,sliding,100,sudden,1.0000,1.0000,1.0000,142.00,34106.00,0.000000
padd,sliding,100,gradual,1.0000,1.0000,1.0000,1.00,45392.00,0.000000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
mmd,sliding,100,sudden,1.0000,1.0000,1.0000,142.00,34083.00,0.000000
mmd,sliding,100,gradual,1.0000,1.0000,1.0000,1.00,45371.00,0.000000
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000
padd,sliding,100,gradual,1.0000,1.0000,1.0000,33.00,8854.00,0.000000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
mmd,sliding,100,sudden,0.2500,1.0000,0.4000,143.00,37049.00,0.003052
mmd,sliding,100,gradual,0.2500,1.0000,0.4000,33.00,8834.00,0.003052
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.003052
padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000
padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
mmd,sliding,100,sudden,1.0000,1.0000,1.0000,188.00,36091.00,0.000000
mmd,sliding,100,gradual,1.0000,1.0000,1.0000,78.00,16124.00,0.000000
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
mmd,sliding,100,sudden,0.5000,1.0000,0.6667,3.00,3237.00,0.001016
mmd,sliding,100,gradual,0.5000,1.0000,0.6667,30.00,5646.00,0.001016
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001016
padd,sliding,100,sudden,1.0000,1.0000,1.0000,152.00,35404.00,0.000000
padd,sliding,100,gradual,1.0000,1.0000,1.0000,30.00,5682.00,0.000000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000
padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
mmd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000
mmd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
padd,sliding,100,sudden,1.0000,1.0000,1.0000,176.00,37710.00,0.000000
padd,sliding,100,gradual,1.0000,1.0000,1.0000,18.00,6977.00,0.000000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000
mmd,sliding,100,sudden,0.3333,1.0000,0.5000,176.00,37689.00,0.002075
mmd,sliding,100,gradual,0.3333,1.0000,0.5000,18.00,6955.00,0.002075
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.002075
padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.002035,260.0000,149.6667,0.5714
padd,sliding,100,gradual,0.3333,1.0000,0.5000,156.00,71338.00,0.002035,260.0000,149.6667,0.5714
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.002035,260.0000,149.6667,0.5714
mmd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.002035,299.7778,149.6667,0.6667
mmd,sliding,100,gradual,0.3333,1.0000,0.5000,156.00,71314.00,0.002035,299.7778,149.6667,0.6667
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.002035,299.7778,149.6667,0.6667
padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,293.4286,164.0000,0.5714
padd,sliding,100,gradual,1.0000,1.0000,1.0000,56.00,8560.00,0.000000,293.4286,164.0000,0.5714
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,293.4286,164.0000,0.5714
mmd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.001015,348.4000,164.0000,0.7000
mmd,sliding,100,gradual,0.5000,1.0000,0.6667,56.00,8539.00,0.001015,348.4000,164.0000,0.7000
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001015,348.4000,164.0000,0.7000
padd,sliding,100,sudden,1.0000,1.0000,1.0000,149.00,35164.00,0.000000,277.8333,138.6667,0.5000
padd,sliding,100,gradual,1.0000,1.0000,1.0000,340.00,46689.00,0.000000,277.8333,138.6667,0.5000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,277.8333,138.6667,0.5000
mmd,sliding,100,sudden,0.3333,1.0000,0.5000,149.00,35142.00,0.001765,384.4444,138.6667,0.6667
mmd,sliding,100,gradual,0.3333,1.0000,0.5000,340.00,46669.00,0.001765,384.4444,138.6667,0.6667
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001765,384.4444,138.6667,0.6667
padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,nan,nan,nan
mmd,sliding,100,sudden,0.2000,1.0000,0.3333,1.00,3647.00,0.003530,382.4667,91.3333,0.8000
mmd,sliding,100,gradual,0.2000,1.0000,0.3333,35.00,6168.00,0.003530,382.4667,91.3333,0.8000
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.003530,382.4667,91.3333,0.8000
padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000880,701.0000,1767.6667,2.0000
padd,sliding,100,gradual,0.0000,0.0000,0.0000,nan,nan,0.000880,701.0000,1767.6667,2.0000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,701.0000,1767.6667,2.0000
