Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,0.0,412.3333,2.0,1.0
newsgroups,mmd,sliding,100,gradual,1.0,1.0,1.0,92.0,14322.0,0.0,0.0,412.3333,2.0,0.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,412.3333,2.0,1.0
newsgroups,mmd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,92.0,14322.0,0.0,0.0,412.3333,2.0,0.6667
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,284.0,35295.0,0.000855,63.0,346.0,0.5,1.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,288.0,48305.0,0.000855,63.0,346.0,0.5,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000855,63.0,346.0,0.5,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,286.0,41800.0,0.000855,63.0,346.0,0.5,0.6667
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,91.0,35708.0,0.000884,0.0,371.3333,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,86.0,17557.0,0.000884,0.0,371.3333,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000884,0.0,371.3333,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,88.5,26632.5,0.000884,0.0,371.3333,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.3333,1.0,0.5,91.0,35711.0,0.001768,0.0,1006.0,2.0,2.0
newsgroups,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.001768,0.0,1006.0,2.0,3.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001768,0.0,1006.0,2.0,3.0
newsgroups,padd,sliding,100,__GLOBAL__,0.3333,0.3333,0.3333,91.0,35711.0,0.001768,0.0,1006.0,2.0,1.3333
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,292.0,33671.0,0.000846,7.5,342.3333,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,188.0,22158.0,0.000846,7.5,342.3333,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000846,7.5,342.3333,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,240.0,27914.5,0.000846,7.5,342.3333,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.000846,15.0,413.6667,2.0,2.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,188.0,22160.0,0.000846,15.0,413.6667,2.0,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000846,15.0,413.6667,2.0,2.0
