Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
agnews,mmd,sliding,100,sudden,0.3333,1.0,0.5,140.0,23502.0,0.001688,0.0,389.3333,0.5,2.0
agnews,mmd,sliding,100,gradual,0.3333,1.0,0.5,32.0,12866.0,0.001688,0.0,389.3333,0.5,2.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001688,0.0,389.3333,0.5,3.0
agnews,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,86.0,18184.0,0.001688,0.0,389.3333,0.5,1.0
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,208.0,24238.0,0.0,0.0,928.0,2.0,0.0
agnews,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,928.0,2.0,1.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,928.0,2.0,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,208.0,24238.0,0.0,0.0,928.0,2.0,0.6667
agnews,mmd,sliding,100,sudden,0.2,1.0,0.3333,163.0,28154.0,0.003373,0.0,381.0,0.5,4.0
agnews,mmd,sliding,100,gradual,0.2,1.0,0.3333,57.0,17616.0,0.003373,0.0,381.0,0.5,4.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.003373,0.0,381.0,0.5,5.0
agnews,mmd,sliding,100,__GLOBAL__,0.3333,0.6667,0.4444,110.0,22885.0,0.003373,0.0,381.0,0.5,1.6667
agnews,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
agnews,mmd,sliding,100,sudden,0.2,1.0,0.3333,212.0,28684.0,0.003373,0.0,365.0,0.5,4.0
agnews,mmd,sliding,100,gradual,0.2,1.0,0.3333,105.0,17784.0,0.003373,0.0,365.0,0.5,4.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.003373,0.0,365.0,0.5,5.0
agnews,mmd,sliding,100,__GLOBAL__,0.3333,0.6667,0.4444,158.5,23234.0,0.003373,0.0,365.0,0.5,1.6667
agnews,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
agnews,mmd,sliding,100,sudden,0.25,1.0,0.4,229.0,27431.0,0.002532,0.0,359.3333,0.5,3.0
agnews,mmd,sliding,100,gradual,0.25,1.0,0.4,122.0,16380.0,0.002532,0.0,359.3333,0.5,3.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.002532,0.0,359.3333,0.5,4.0
agnews,mmd,sliding,100,__GLOBAL__,0.4,0.6667,0.5,175.5,21905.5,0.002532,0.0,359.3333,0.5,1.3333
agnews,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,160.0,30018.0,0.000845,0.0,382.0,0.5,1.0
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,54.0,19375.0,0.000845,0.0,382.0,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000845,0.0,382.0,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,107.0,24696.5,0.000845,0.0,382.0,0.5,0.6667
