Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
yahoo,mmd,sliding,100,sudden,0.5,1.0,0.6667,138.0,33467.0,0.000849,0.0,389.6667,0.5,1.0
yahoo,mmd,sliding,100,gradual,0.5,1.0,0.6667,31.0,22146.0,0.000849,0.0,389.6667,0.5,1.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000849,0.0,389.6667,0.5,2.0
yahoo,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,84.5,27806.5,0.000849,0.0,389.6667,0.5,0.6667
yahoo,padd,sliding,100,sudden,1.0,1.0,1.0,138.0,33470.0,0.0,4.5,343.0,0.5,0.0
yahoo,padd,sliding,100,gradual,1.0,1.0,1.0,180.0,23983.0,0.0,4.5,343.0,0.5,0.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,4.5,343.0,0.5,1.0
yahoo,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,159.0,28726.5,0.0,4.5,343.0,0.5,0.3333
yahoo,mmd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,mmd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,mmd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
yahoo,padd,sliding,100,sudden,1.0,1.0,1.0,181.0,34753.0,0.0,10.5,342.0,0.5,0.0
yahoo,padd,sliding,100,gradual,1.0,1.0,1.0,195.0,23465.0,0.0,10.5,342.0,0.5,0.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,10.5,342.0,0.5,1.0
yahoo,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,188.0,29109.0,0.0,10.5,342.0,0.5,0.3333
yahoo,mmd,sliding,100,sudden,0.5,1.0,0.6667,113.0,35256.0,0.000844,0.0,348.3333,0.5,1.0
