Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,100,sudden,1.0,1.0,1.0,157.0,20441.0,0.0,90.0,340.6667,0.5,0.0
newsgroups,mmd,sliding,100,gradual,1.0,1.0,1.0,358.0,45559.0,0.0,90.0,340.6667,0.5,0.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,90.0,340.6667,0.5,1.0
newsgroups,mmd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,257.5,33000.0,0.0,90.0,340.6667,0.5,0.3333
newsgroups,padd,sliding,100,sudden,1.0,1.0,1.0,157.0,20467.0,0.0,0.0,382.0,0.5,0.0
newsgroups,padd,sliding,100,gradual,1.0,1.0,1.0,54.0,8202.0,0.0,0.0,382.0,0.5,0.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,382.0,0.5,1.0
newsgroups,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,105.5,14334.5,0.0,0.0,382.0,0.5,0.3333
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,141.0,24368.0,0.000845,0.0,368.3333,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,95.0,12713.0,0.000845,0.0,368.3333,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000845,0.0,368.3333,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,118.0,18540.5,0.000845,0.0,368.3333,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,141.0,24392.0,0.000845,0.0,368.3333,0.5,1.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,95.0,12736.0,0.000845,0.0,368.3333,0.5,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000845,0.0,368.3333,0.5,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,118.0,18564.0,0.000845,0.0,368.3333,0.5,0.6667
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,163.0,24011.0,0.000845,0.0,384.6667,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,46.0,7188.0,0.000845,0.0,384.6667,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000845,0.0,384.6667,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,104.5,15599.5,0.000845,0.0,384.6667,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,312.0,37676.0,0.000845,0.0,384.6667,0.5,1.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,46.0,7220.0,0.000845,0.0,384.6667,0.5,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000845,0.0,384.6667,0.5,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,179.0,22448.0,0.000845,0.0,384.6667,0.5,0.6667
newsgroups,mmd,sliding,100,sudden,0.25,1.0,0.4,188.0,27559.0,0.00253,0.0,383.3333,0.5,3.0
newsgroups,mmd,sliding,100,gradual,0.25,1.0,0.4,50.0,7498.0,0.00253,0.0,383.3333,0.5,3.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.00253,0.0,383.3333,0.5,4.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.4,0.6667,0.5,119.0,17528.5,0.00253,0.0,383.3333,0.5,1.3333
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,188.0,27582.0,0.000843,0.0,383.3333,0.5,1.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,50.0,7520.0,0.000843,0.0,383.3333,0.5,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,383.3333,0.5,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,119.0,17551.0,0.000843,0.0,383.3333,0.5,0.6667
newsgroups,mmd,sliding,100,sudden,0.25,1.0,0.4,210.0,28179.0,0.002532,0.0,368.0,0.5,3.0
newsgroups,mmd,sliding,100,gradual,0.25,1.0,0.4,96.0,14615.0,0.002532,0.0,368.0,0.5,3.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.002532,0.0,368.0,0.5,4.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.4,0.6667,0.5,153.0,21397.0,0.002532,0.0,368.0,0.5,1.3333
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,491.0,51240.0,0.000844,0.0,368.0,0.5,1.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,96.0,14641.0,0.000844,0.0,368.0,0.5,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000844,0.0,368.0,0.5,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,293.5,32940.5,0.000844,0.0,368.0,0.5,0.6667
newsgroups,mmd,sliding,100,sudden,0.3333,1.0,0.5,155.0,25947.0,0.001686,9.5,340.3333,0.5,2.0
newsgroups,mmd,sliding,100,gradual,0.3333,1.0,0.5,198.0,44315.0,0.001686,9.5,340.3333,0.5,2.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001686,9.5,340.3333,0.5,3.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,176.5,35131.0,0.001686,9.5,340.3333,0.5,1.0
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,155.0,25971.0,0.000843,9.5,340.3333,0.5,1.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,198.0,44337.0,0.000843,9.5,340.3333,0.5,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,9.5,340.3333,0.5,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,176.5,35154.0,0.000843,9.5,340.3333,0.5,0.6667
newsgroups,mmd,sliding,100,sudden,0.3333,1.0,0.5,43.0,7106.0,0.001688,0.0,376.0,0.5,2.0
newsgroups,mmd,sliding,100,gradual,0.3333,1.0,0.5,72.0,10267.0,0.001688,0.0,376.0,0.5,2.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001688,0.0,376.0,0.5,3.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,57.5,8686.5,0.001688,0.0,376.0,0.5,1.0
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,43.0,7127.0,0.000844,0.0,1038.0,2.0,1.0
newsgroups,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.000844,0.0,1038.0,2.0,2.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000844,0.0,1038.0,2.0,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.5,0.3333,0.4,43.0,7127.0,0.000844,0.0,1038.0,2.0,1.0
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,399.0,47328.0,0.000843,0.0,376.0,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,72.0,10151.0,0.000843,0.0,376.0,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,376.0,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,235.5,28739.5,0.000843,0.0,376.0,0.5,0.6667
