Detector,TriggerN,DriftType,N_runs,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FAR_mean,FAR_std,LatDocs_mean,LatDocs_std,LatMs_mean,LatMs_std,D1_mean,D1_std,D2_mean,D2_std,R_mean,R_std
mmd,50,__GLOBAL__,10,0.5176,0.1015,0.4391,0.1438,0.6667,0.0000,0.002530,0.001318,138.8,93.1,21682.2,8743.7,3.15,9.96,365.70,14.48,0.5000,0.0000
mmd,50,gradual,10,0.4391,0.1438,0.2917,0.1258,1.0000,0.0000,0.002530,0.001318,109.2,57.9,15161.4,9783.4,3.15,9.96,365.70,14.48,0.5000,0.0000
mmd,50,recurring,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.002530,0.001318,nan,nan,nan,nan,3.15,9.96,365.70,14.48,0.5000,0.0000
mmd,50,sudden,10,0.4391,0.1438,0.2917,0.1258,1.0000,0.0000,0.002530,0.001318,168.5,154.0,28202.9,11987.1,3.15,9.96,365.70,14.48,0.5000,0.0000
mmd,100,__GLOBAL__,30,0.5841,0.1515,0.5795,0.2280,0.6334,0.1342,0.001406,0.001092,146.5,60.1,22639.8,6624.8,11.91,29.74,386.82,105.28,0.5517,0.2785
mmd,100,gradual,30,0.5462,0.2373,0.4133,0.2464,0.9333,0.2537,0.001406,0.001092,122.3,99.4,19084.9,12164.2,11.91,29.74,386.82,105.28,0.5517,0.2785
mmd,100,recurring,30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.001406,0.001092,nan,nan,nan,nan,11.91,29.74,386.82,105.28,0.5517,0.2785
mmd,100,sudden,30,0.5795,0.2280,0.4467,0.2560,0.9667,0.1826,0.001406,0.001092,167.9,66.2,25807.5,6604.2,11.91,29.74,386.82,105.28,0.5517,0.2785
mmd,200,__GLOBAL__,10,0.6200,0.2700,0.8500,0.3375,0.5000,0.2357,0.000085,0.000268,263.1,76.4,36084.0,6199.8,16.56,17.90,511.07,257.21,1.0000,0.7500
mmd,200,gradual,10,0.6000,0.5164,0.6000,0.5164,0.6000,0.5164,0.000085,0.000268,227.8,32.3,36159.0,7997.0,16.56,17.90,511.07,257.21,1.0000,0.7500
mmd,200,recurring,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000085,0.000268,nan,nan,nan,nan,16.56,17.90,511.07,257.21,1.0000,0.7500
mmd,200,sudden,10,0.8667,0.3220,0.8500,0.3375,0.9000,0.3162,0.000085,0.000268,266.9,93.3,34829.7,8390.1,16.56,17.90,511.07,257.21,1.0000,0.7500
padd,50,__GLOBAL__,10,0.6100,0.2544,0.6686,0.3504,0.6000,0.2108,0.001180,0.001444,199.6,92.1,27191.2,8216.4,31.06,46.79,359.22,16.44,0.5000,0.0000
padd,50,gradual,10,0.6686,0.3504,0.5917,0.3858,0.9000,0.3162,0.001180,0.001444,184.4,138.2,23361.7,16672.1,31.06,46.79,359.22,16.44,0.5000,0.0000
padd,50,recurring,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.001180,0.001444,nan,nan,nan,nan,31.06,46.79,359.22,16.44,0.5000,0.0000
padd,50,sudden,10,0.6686,0.3504,0.5917,0.3858,0.9000,0.3162,0.001180,0.001444,214.7,132.9,31020.7,9927.6,31.06,46.79,359.22,16.44,0.5000,0.0000
padd,100,__GLOBAL__,30,0.3625,0.3144,0.4445,0.3996,0.3333,0.3033,0.000394,0.000531,203.6,104.6,29481.0,13463.0,3.14,11.17,541.31,257.93,1.0000,0.7276
padd,100,gradual,30,0.2778,0.3592,0.2222,0.3074,0.4000,0.4983,0.000394,0.000531,105.8,67.3,17530.1,13787.5,3.14,11.17,541.31,257.93,1.0000,0.7276
padd,100,recurring,30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000394,0.000531,nan,nan,nan,nan,3.14,11.17,541.31,257.93,1.0000,0.7276
padd,100,sudden,30,0.4556,0.4034,0.3889,0.3799,0.6000,0.4983,0.000394,0.000531,247.5,121.5,35051.1,14027.4,3.14,11.17,541.31,257.93,1.0000,0.7276
padd,200,__GLOBAL__,10,0.5700,0.2497,0.9000,0.3162,0.4333,0.2250,0.000000,0.000000,312.7,100.5,39182.1,7100.2,11.22,17.96,618.67,270.16,1.3333,0.7906
padd,200,gradual,10,0.4000,0.5164,0.4000,0.5164,0.4000,0.5164,0.000000,0.000000,229.5,39.4,32745.0,8759.0,11.22,17.96,618.67,270.16,1.3333,0.7906
padd,200,recurring,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,nan,nan,nan,nan,11.22,17.96,618.67,270.16,1.3333,0.7906
padd,200,sudden,10,0.9000,0.3162,0.9000,0.3162,0.9000,0.3162,0.000000,0.000000,335.7,119.4,40334.3,9284.5,11.22,17.96,618.67,270.16,1.3333,0.7906
